asset_id,asset_name,type,planned_section,legal_source,license_status,commercial_use,generated_or_real,owner_confirmation_required,optimization,fallback,risk_notes,evidence_status
fitsole-product-media-existing,Existing Shopify product images,product photography,"product cards, PDP gallery, new arrivals, sale","Owner-provided Shopify catalog media",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Real,Yes,"Shopify responsive image sizes; convert/serve AVIF/WebP where possible; fixed aspect ratios","Product title/price/CTA remains in DOM if image fails","Global-brand product media rights and allowed ecommerce usage must be confirmed",Manual review required
fitsole-hero-drop-image,Hero drop image,hero photography,homepage hero,"Owner-provided product/campaign image or newly produced Fitsole shoot",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Real,Yes,"Mobile and desktop crops; preload only if LCP; compressed AVIF/WebP","Static product/category tile and CTA","No unauthorized brand campaign image; product must be inspectable",Manual review required
fitsole-category-route-images,Category route images,category photography,"Sneakers/Apparel/Accessories/Kids/Sale route tiles","Owner-provided product/category photography",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Real,Yes,"Consistent crops; lazy-load below hero","Text category links","Avoid stock-like or mismatched category imagery",Manual review required
fitsole-lifestyle-editorial,Lifestyle/editorial imagery,lifestyle photography,"drop edit, shop the fit, social/local proof if used","New Fitsole-owned shoot or licensed commercial photography with model/property releases",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Real or licensed,Yes,"Responsive crops; compress; no large background videos","Product-only editorial layout","Model/property releases required; do not imply fake customers or endorsements",Manual review required
fitsole-product-macros,Product macro detail images,macro photography,"PDP details, confidence modules, fit/material notes","Owner-provided or newly shot Fitsole product photography",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Real,Yes,"Lazy-load below fold; crop for material/sole/upper details","Text material/fit bullets","Only use for products where detail is accurate and relevant",Manual review required
fitsole-video-loop,Optional short video loop,video,"hero/supporting editorial sections","Owner-produced Fitsole video or licensed commercial video",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Real or licensed,Yes,"Muted; playsinline; compressed WebM/MP4; poster; preload metadata only","Poster image","No autoplay audio; model/property/brand rights required",Manual review required
fitsole-trust-icons,Trust and utility icons,icons,"trust strip, confidence desk, footer","Custom owned icon set or verified theme/icon library license",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Generated code or licensed,Yes,"Inline SVG or optimized sprite; aria-hidden when decorative","Text labels","Icons must not create unsupported legal claims",Manual review required
fitsole-red-line-motif,Red verification line motif,graphic system,"hero, sections, product cards, nav, cart feedback","Custom CSS/SVG created in implementation",Owned once created,Yes,Generated code,No,"CSS/SVG only; no raster export needed","Static border/rule","Must not be the only indicator of state",Verified
fitsole-fonts,Primary and display fonts,typography,global,"Licensed commercial fonts or free fonts with verified license",Unknown / requires owner confirmation,Unknown / requires owner confirmation,Real third-party,Yes,"Subset if self-hosted; font-display swap; system fallback","System font stack","Font license must allow web embedding and commercial use",Manual review required
fitsole-live-products-json,Live Shopify product JSON,product data,"homepage product grid, hero, sale floor, shop the look, quick-check dialog","https://fitsole.shop/products.json and collection product JSON endpoints",Owner-controlled live Shopify endpoint,Yes,Real live data,Yes,"Fetched at runtime with real-data fallback; de-duped by handle","Fallback products captured from live Fitsole feed","Endpoint availability and catalog content can change; production Shopify theme should use native product data instead",Verified
google-fonts-archivo-inter,Archivo and Inter web fonts,typography,global,"Google Fonts CSS API",Open font license via Google Fonts,Yes,Real third-party,No,"font-display swap; system fallback declared","System sans-serif stack","For production, owner may prefer self-hosting or licensed brand font",Verified
fitsole-spline-scene,Spline scene,3D/WebGL,N/A,"No Spline scene planned for v1",N/A,N/A,N/A,No,N/A,"Normal DOM/image experience","Spline is intentionally not used unless owner supplies approved optimized scene",Verified
fitsole-blender-assets,Blender assets,3D/render,N/A,"No Blender asset planned for v1",N/A,N/A,N/A,No,N/A,"Normal DOM/image experience","Blender is not justified for global-brand product replicas; no brief created",Verified
external-brand-campaigns,External brand campaign imagery,brand campaign media,N/A,"Do not use unless Fitsole provides explicit legal rights",Blocked,Blocked,Real third-party,Yes,N/A,N/A,"High legal risk; avoid by default",Blocked
