agent,codex_file,claude_file,sandbox_mode,description
accessibility-ux-master,.codex/agents/accessibility-ux-master.toml,.claude/agents/accessibility-ux-master.md,read-only,"Senior accessibility UX specialist for WCAG, keyboard navigation, forms, reduced motion, and accessible creative experiences."
art-director,.codex/agents/art-director.toml,.claude/agents/art-director.md,read-only,"Defines typography, color, grid, material, media, motion personality, and mobile art direction."
asset-pipeline-master,.codex/agents/asset-pipeline-master.toml,.claude/agents/asset-pipeline-master.md,workspace-write,"Handles legal asset sourcing, image generation, stock search, optimization, fonts, SVGs, video, and 3D asset pipeline."
blender-production-master,.codex/agents/blender-production-master.toml,.claude/agents/blender-production-master.md,workspace-write,"Senior Blender production artist for procedural modeling, materials, lighting, GLB export, optimization, and web fallbacks."
codex-orchestrator,.codex/agents/codex-orchestrator.toml,.claude/agents/codex-orchestrator.md,workspace-write,"Coordinates the full autonomous build process from business type to research, concept, assets, implementation, QA, and final handoff."
creative-director,.codex/agents/creative-director.toml,.claude/agents/creative-director.md,read-only,"Creates the concept competition, selects the strongest creative thesis, and protects the site from generic output."
creative-technologist-master,.codex/agents/creative-technologist-master.toml,.claude/agents/creative-technologist-master.md,workspace-write,"Invents the signature interaction combining DOM, WebGL, motion, input, data, and storytelling."
frontend-engineer,.codex/agents/frontend-engineer.toml,.claude/agents/frontend-engineer.md,workspace-write,"Builds the production website with clean architecture, semantic HTML, responsive UI, and maintainable code."
gpu-performance-master,.codex/agents/gpu-performance-master.toml,.claude/agents/gpu-performance-master.md,read-only,"Senior GPU/runtime performance specialist for Core Web Vitals, WebGL, animation, memory, and mobile performance."
gsap-animation-master,.codex/agents/gsap-animation-master.toml,.claude/agents/gsap-animation-master.md,workspace-write,"Senior GSAP/motion engineer for timelines, scroll choreography, reveals, and reduced-motion fallbacks."
image-generation-director,.codex/agents/image-generation-director.toml,.claude/agents/image-generation-director.md,read-only,Creates professional image-generation briefs/prompts and decides when generated imagery is appropriate or risky.
market-researcher,.codex/agents/market-researcher.toml,.claude/agents/market-researcher.md,read-only,"Researches the business category, competitors, buyer psychology, trust requirements, SEO topics, and visual clichés."
master-technical-director,.codex/agents/master-technical-director.toml,.claude/agents/master-technical-director.md,read-only,"Coordinates advanced specialists and decides when Blender, Three.js, WebGL, shaders, GSAP, or simpler techniques are justified."
release-qa-master,.codex/agents/release-qa-master.toml,.claude/agents/release-qa-master.md,read-only,"Final release manager for build validation, responsive checks, browser QA, metadata, no-secrets, and final ship decision."
screenshot-critic,.codex/agents/screenshot-critic.toml,.claude/agents/screenshot-critic.md,read-only,"Brutally critiques real screenshots and rejects template-looking, weak, unclear, or unpolished designs."
shader-webgl-master,.codex/agents/shader-webgl-master.toml,.claude/agents/shader-webgl-master.md,workspace-write,Senior WebGL/GLSL shader engineer for concept-driven GPU visual effects.
threejs-r3f-master,.codex/agents/threejs-r3f-master.toml,.claude/agents/threejs-r3f-master.md,workspace-write,"Senior Three.js/R3F engineer for performant, responsive, accessible 3D scenes."
typography-layout-master,.codex/agents/typography-layout-master.toml,.claude/agents/typography-layout-master.md,workspace-write,"Senior typography and layout expert for premium visual hierarchy, spacing, grid, and responsive composition."
ux-copy-strategist,.codex/agents/ux-copy-strategist.toml,.claude/agents/ux-copy-strategist.md,read-only,"Writes the hero, section plan, CTAs, proof strategy, FAQs, and microcopy."
